Data from: 16/5/18:
A,Compositae,Achyrophorus,A,
B,Ptychomniaceae,Achyrophyllum,A,
A,Amaranthaceae,Achyropsis,A,
A,Lamiaceae,Achyrospermum,A,
A,Poaceae,Aciachne,A,
A,Orchidaceae,Acianthera,A,
A,Orchidaceae,Acianthus,A,
A,Calyceraceae,Acicarpha,A,
A,Iridaceae,Acidanthera,A,
A,Euphorbiaceae,Acidocroton,A,
B,Bryaceae,Acidodontium,A,
A,Proteaceae,Acidonia,A,
A,Poaceae,Acidosasa,A,
A,Euphorbiaceae,Acidoton,A,
A,Compositae,Acilepidopsis,A,
A,Compositae,Acilepis,A,
A,Orchidaceae,Acineta,A,
A,Melastomataceae,Acinodendron,A,
A,Melastomataceae,Acinolis,U,
A,Lamiaceae,Acinos,A,
A,Chrysobalanaceae,Acioa,A,
A,Melastomataceae,Aciotis,A,
A,Melastomataceae,Acipetalum,U,
A,Apiaceae,Aciphylla,A,
A,Amaryllidaceae,Acis,A,
A,Melastomataceae,Acisanthera,A,
A,Cunoniaceae,Ackama,U,
A,Nyctaginaceae,Acleisanthes,A,
A,Commelinaceae,Aclisia,U,
A,Rutaceae,Acmadenia,A,
A,Malpighiaceae,Acmanthera,A,
A,Compositae,Acmella,A,
A,Myrtaceae,Acmena,U,
A,Leguminosae,Acmispon,A,
G,Podocarpaceae,Acmopyle,A,
A,Amaranthaceae,Acnida,A,
A,Solanaceae,Acnistus,A,
A,Arecaceae,Acoelorrhaphe,A,
A,Apocynaceae,Acokanthera,A,
B,Gymnomitriaceae,Acolea,A,
A,Rosaceae,Acomastylis,U,
A,Capparaceae,Acome,A,
A,Compositae,Acomis,A,
P,Dryopteridaceae,Aconiopteris,U,
A,Ranunculaceae,Aconitella,U,
A,Ranunculaceae,Aconitum,A,
A,Polygonaceae,Aconogonon,U,
A,Polygonaceae,Aconogonum,A,
A,Araceae,Acontias,U,
A,Poaceae,Acophorum,U,
A,Orchidaceae,Acoridium,U,
A,Acoraceae,Acorus,A,
A,Caryophyllaceae,Acosmia,U,
A,Leguminosae,Acosmium,A,
A,Malpighiaceae,Acosmus,U,
A,Compositae,Acosta,U,
B,Hypnaceae,Acosta,A,
A,Poaceae,Acostia,A,
A,Compositae,Acourtia,A,
A,Poaceae,Acrachne,A,
A,Rutaceae,Acradenia,A,
A,Rubiaceae,Acranthera,A,
A,Malpighiaceae,Acridocarpus,A,
A,Meliaceae,Acrilia,U,
A,Orchidaceae,Acriopsis,A,
A,Compositae,Acrisione,A,
A,Poaceae,Acritochaete,A,
B,Sematophyllaceae,Acritodon,A,
A,Compositae,Acritopappus,A,
A,Cyperaceae,Acriulus,U,
A,Balanophoraceae,Acroblastum,U,
B,Acrobolbaceae,Acrobolbus,A,
A,Rubiaceae,Acrobotrys,A,
A,Piperaceae,Acrocarpidium,U,
A,Leguminosae,Acrocarpus,A,
A,Compositae,Acrocentron,U,
A,Lamiaceae,Acrocephalus,U,
A,Poaceae,Acroceras,A,
A,Orchidaceae,Acrochaene,A,
B,Plagiochilaceae,Acrochila,A,
B,Plagiotheciaceae,Acrocladiopsis,A,
B,Amblystegiaceae,Acrocladium,A,
A,Compositae,Acroclinium,U,
A,Arecaceae,Acrocomia,A,
A,Apocynaceae,Acrocoryne,U,
B,Cryphaeaceae,Acrocryphaea,A,
A,Lauraceae,Acrodiclidium,U,
A,Aizoaceae,Acrodon,A,
A,Amaranthaceae,Acroglochin,A,
A,Apiaceae,Acroglyphe,U,
A,Loasaceae,Acrolasia,U,
B,Lejeuneaceae,Acrolejeunea,A,
A,Orchidaceae,Acrolophia,A,
B,Gymnomitriaceae,Acrolophozia,A,
B,Lepidoziaceae,Acromastigum,A,
A,Apiaceae,Acronema,A,
A,Orchidaceae,Acronia,U,
A,Rutaceae,Acronychia,A,
P,Dryopteridaceae,Acropelta,A,
